X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
18	0	February 1972	Charles Mingus	Let My Children Hear Music	400	children.jpg	83
18	1	April 1972 Live	Charles Mingus	The Great Concert of Charles Mingus	403	greatconcert.jpg	84
18	2	May 1972 Live	Jimmy Smith	Root Down: Jimmy Smith Live!	394	root.jpg	85
18	3	11 October 1972	Miles Davis	On the Corner	394	corner.jpg	86
18	4	February 1972	Pharoah Sanders	Black Unity	393	blackunity.jpg	87
18	5	27 November 1972	The Mothers	The Grand Wazoo	386	wazoo.jpg	88
19	0	13 October 1973	Herbie Hancock	Head Hunters	397	hunters.jpg	89
19	1	30 March 1973	Herbie Hancock	Sextant	392	sextant.jpg	90
19	2	September 1973 Live	John Coltrane	Concert in Japan	400	japan.jpg	91
19	3	November 1973 Live	Keith Jarrett	Solo-Concerts: Bremen and Lausanne	399	bremen.jpg	92
19	4	21 June 1973 Live	Miles Davis	Black Beauty: Miles Davis at Fillmore West	392	blackbeauty.jpg	93
20	0	March 1974 Live	McCoy Tyner	Enlightenment	398	enlight.jpg	94
20	1	22 November 1974	Miles Davis	Get Up With It	403	getup.jpg	95
20	2	10 September 1974 Live	Zappa / Mothers	Roxy & Elsewhere	401	roxy.jpg	96
21	0	February 1975 Live	Charles Mingus	Mingus at Carnegie Hall	393	carnegie.jpg	97
21	1	1975 Live	Herbie Hancock	Flood	393	flood.jpg	98
21	2	30 November 1975 Live	Keith Jarrett	The Köln Concert	401	koln.jpg	99
21	3	15 November 1975 Live	Miles Davis	Agharta	405	agharta.jpg	100
22	0	November 1976 Live	Gil Scott-Heron and Brian Jackson	It's Your World	396	world.jpg	101
23	0	1977 Live	Cecil Taylor Unit	Dark to Themselves	391	dark.jpg	102
23	1	1977	Don Cherry	Don Cherry	391	cherry.jpg	103
23	2	1977 Live	Miles Davis	Dark Magus	412	darkmagus.jpg	104
23	3	1977 Live	山下洋輔トリオ、 大駱駝艦、 ジェラルド大下	嵐 (Arashi)	399	arashi.jpg	105
24	0	January 1978 Live	Keith Jarrett	Sun Bear Concerts Piano Solo: Recorded in Japan	413	sunbear.jpg	106
24	1	1978	Sun Ra	Lanquidity	397	lanquidity.jpg	107
25	0	1979	Sun Ra and His Arkestra	Sleeping Beauty	393	sleeping.jpg	108
