X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
10	0	1969	Piero Piccioni	Amore mio, aiutami	100	aiutami.jpg	81
33	1	1977	Claudio Lolli	Disoccupate le strade dai sogni	100	sogni.jpg	82
38	1	1978	Eugenio Bennato / Carlo D'Angiò	Musicanova	100	nova.jpg	83
21	6	October 1973	Il Rovescio della Medaglia	Contaminazione	100	contami.jpg	84
36	2	1978	Ivan Graziani	Pigro	100	pigro.jpg	85
31	2	1976	Area	Maledetti (Maudits)	100	maledetti.jpg	86
13	1	September 1970	Chico Buarque & Ennio Morricone	Per un pugno di samba	100	samba.jpg	87
24	3	1974	Area	Caution Radiation Area	100	caution.jpg	88
34	1	1977	Angelo Branduardi	La pulce d'acqua	100	pulce.jpg	89
19	4	1972	Osanna	Preludio, tema, variazioni, canzona	100	preludio.jpg	90
25	3	1974	Le Orme	Contrappunti	100	contrappunti.jpg	91
26	3	1974	Murple	Io sono Murple	100	murple.jpg	92
32	2	1976	Corte dei Miracoli	Corte dei Miracoli	100	corte.jpg	93
20	4	April 1972	Lucio Battisti	Umanamente uomo: il sogno	100	sogno.jpg	94
27	3	1975	Etna	Etna	100	etna.jpg	95
18	5	1972	Raccomandata Ricevuta Ritorno	Per... un mondo di cristallo	100	cristallo.jpg	96
19	5	1972	Battiato	Fetus	100	fetus.jpg	97
20	5	November 1972	Lucio Battisti	Il mio canto libero	100	canto.jpg	98
22	6	1973	Nino Ferrer	Nino Ferrer & Leggs	100	leggs.jpg	99
41	1	1979	Ann Steel	Ann Steel	100	steel.jpg	100
0	0	May 1966	Piero Piccioni	The 10th Victim	100	victim.jpg	101
35	1	1977	Pino Daniele	Terra mia	100	terra.jpg	102
33	2	1977	Pierrot Lunaire	Gudrun	100	gudrun.jpg	103
16	1	1971	Nino Ferrer	Métronomie	100	metro.jpg	104
11	0	1969	Piero	Piero	100	piero.jpg	105
